FileName	OriginalHyperLink	NewHyperLink	CoincidencePrefix
Forholdsmæssig beregning ved regresregel F-situationer.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Beregning%20af%20forholdsmæssig/Beregning%20Fordeling.xlsx"""		
Forretningsgang kombiskader.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Forretningsgang%20kombiskader/Selvrisikoberegner.xlsx"""		
Forretningsgang LB og SOS vedr. kaskoskader.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/Aftale%20med%20SOS%20International%20pr.%201.1.2014.pdf"""		
Forretningsgang LB og SOS vedr. kaskoskader.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/Rødt%20kort%20information%206-13.docx"""		
Forretningsgang LB og SOS vedr. kaskoskader.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Forretningsgang%20LB%20og%20SOS%20vedr.%20kaskoskader/Rødt%20kort%20-%20ny%20aftale%20med%20SOS.docx"""		
Forretningsgang ml. Bilskade og Personskade.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Forretningsgang%20ml.%20Bilskade%20og%20Personskade/Bilskade%20Personskade.docx"""		
Fortolkning af regresaftalen.aspx	"href=""http://www.forsikringogpension.dk/Sider/forside.aspx"""		
BilForældelse.aspx	"href=""http://skat.dk/skat.aspx?oID=2085662&amp"	"chk=214955"""	
Fradrag af moms for skadelidtes indkøb til udbedring af skade.aspx	"href=""http://skat.dk/skat.aspx?oID=2085662&amp"	"chk=214955"""	
Fælles europæisk anmeldelse.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/anmeldelse.pdf"""		
Fører og passagerulykke.aspx	"href=""/Sider/vilkaar.aspx"""		
Gerningskoder i politirapporter.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/gerningskode%20politrapport.doc"""		
Glaslister.aspx	"href=""/Skade/hb/bil/SitePages/Moms.aspx"""		
BilGlasskader.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/GoMore%20MinBilDinBil%20og%20lignende/privat-biludlejning-gomore.pdf"""		
