OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Tøbrud.aspx;BygningTøbrud.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Kolonne 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning;True;Error
Snetryk.aspx;Snetryk.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Afsnit 6: Storm - voldsomt sky-og tøbrud - snetryk;Bygning;False;Error
Snefygning.aspx;Snefygning.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning;False;Error
Skade på bygninger under opførelse, om- eller tilbygning.aspx;Skade på bygninger under opførelse, om- eller tilbygning.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;voldsomt sky- og tøbrud - snetryk;Bygning;False;Error
Vandindtrængning som følge af stormskader.aspx;Vandindtrængning som følge af stormskader.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning;False;Error
Manglende fundering.aspx;Manglende fundering.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk ;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning;False;Error
Muret eller støbt sokkel eller sokkelsten.aspx;Muret eller støbt sokkel eller sokkelsten.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk ;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning;False;Error
Pludselig skade.aspx;Pludselig skade.aspx;Afsnit 7: Pludselig skade;Afsnit 7: Pludselig skade;Bygning;False;Error
Tørkogning - Sodskader.aspx;Tørkogning - Sodskader.aspx;Afsnit 7: Pludselig skade;Afsnit 7: Pludselig skade;Bygning;False;Error
Asbestslam - asbeststøv.aspx;BygningAsbestslam - asbeststøv.aspx;Afsnit 7: Pludselig skade;Afsnit 7: Pludselig skade;Bygning;True;Error
Blæseskader - markiser - åbne vinduer og døre.aspx;Blæseskader - markiser - åbne vinduer og døre.aspx;Afsnit 7: Pludselig skade;Afsnit 7: Pludselig skade;Bygning;False;Error
Markiser - Kraftig regn.aspx;Markiser - Kraftig regn.aspx;Afsnit 7: Pludselig skade;Afsnit 7: pludselig skade;Bygning;False;Error
Psykisk syge - pluselige skader - hærværk.aspx;Psykisk syge - pluselige skader - hærværk.aspx;Afsnit 7: Pludselig skade;;Bygning;False;Error
Glas og Sanitet.aspx;Glas og Sanitet.aspx;Afsnit 8: Glas og sanitet;Afsnit 8: Glas og sanitet;Bygning;False;Error
Ridser, afspringning af fliser samt punktering sket ved indbrud, storm, voldstomt tø- eller skybrud og snetryk.aspx;Ridser, afspringning af fliser samt punktering sket ved indbrud, storm, voldstomt tø- eller skybrud og snetryk.aspx;Afsnit 8: Glas og sanitet;;Bygning;False;Error
Brud på sanitet.aspx;Brud på sanitet.aspx;Afsnit 8: Glas og sanitet ;;Bygning;False;Error
